commit	percent_correct	memory_gb	status	description
51876c6	47.6900	2.4	discard	Exp93: GAP head — loses spatial info, flatten+linear better
7648416	50.8000	2.4	discard	Exp94: lr 8e-2 with HFlip — within noise but worse
7a3310e	51.5000	2.4	keep	Exp99: remove middle FC Linear(256,256) — same acc, simpler
bfdafdf	50.0600	2.4	discard	Exp100: bf16-mixed — slightly worse, fp16 holds
342830f	48.0200	2.4	discard	Exp101: Mixup(α=0.2) — too much aug for ternary, hurts
be74e4b	48.3100	3.6	discard	Exp102: batch 1536 — too big, fewer steps hurts
7f82e8c	50.2400	2.4	discard	Exp103: FC 384 — within noise but worse
c98e751	51.0000	2.4	discard	Exp104: brightness aug — within noise, no gain
1c2e9ef	52.3500	2.3	keep	Exp105: stage-2 3->2 convs — +0.85%, more steps from less compute
094635f	51.0100	2.1	discard	Exp106: stage-1 3->2 convs — too little capacity at start, hurts
cca3885	51.1100	2.3	discard	Exp107: stage-3 3->2 convs — within noise but worse
88a9180	51.2900	2.3	discard	Exp108: lr 1.05e-1 trimmed — within noise but worse
4f76fd5	51.7900	2.4	discard	Exp109: stage-2 160ch — within noise but worse
74e853c	52.4500	2.3	discard	Exp110: momentum 0.95 trimmed — within noise of 0.97
b265933	51.6400	2.3	discard	Exp111: scale cap 0.5 — within noise but worse
bea6c44	51.4400	2.8	discard	Exp112: no compile — within noise but worse + more VRAM
aa0c5d1	52.4500	2.3	discard	Exp113: zero-init biases — within noise, adds complexity
aabdd77	52.3700	2.2	discard	Exp114: stage-3 all 160ch — same acc, not simpler
d55d8ab	49.8400	2.4	discard	Exp115: min_prob 5e-4 — too low exploration
2cbce75	50.4800	2.4	discard	Exp116: LeakyReLU 0.5 — too leaky, 0.4 still best
dcdd31a	52.2900	2.5	discard	Exp117: stage-1 56ch — same acc, more VRAM
94bec68	47.3800	2.4	discard	Exp118: stage-3 5x5 — too many params, hurts
2b28405	51.2900	4.6	discard	Exp119: concat HFlip — same effective batch but slower steps
ebbd8c3	51.0400	2.4	discard	Exp120: log_every_n_steps=50 — within noise
7cdf520	50.9800	2.4	discard	Exp121: init 0.6 — within noise but worse, 0.7 holds
07dbd1b	52.4300	2.4	keep	Exp122: bias=False on convs+first FC — same acc, fewer ternary biases
5430e86	52.7600	2.4	discard	Exp123: lr 1.05e-1 with bias=False — within noise of lr 9e-2
8a9ba14	52.4900	2.4	discard	Exp124: min_prob 1.5e-3 — within noise
9bd5ffb	42.0300	2.4	discard	Exp125: 2 GPUs DDP — effective batch 2048 dilutes ternary flips, hurts
e0e309e	51.2400	2.4	discard	Exp126: grad_accum=2 — fewer steps hurts more than smoother grads help
e1d65db	51.9700	2.4	discard	Exp127: lr 1.05e-1 bias=False — within noise, confirmed
45ede2f	52.9000	2.4	keep	Exp128: num_workers 11->4 — less CPU contention, +0.5% (re-run hit 53.43)
654104f	51.8700	2.4	discard	Exp129: num_workers=2 — too few, dataloader bottleneck
3131003	52.9900	2.4	discard	Exp130: num_workers=8 — within noise of 4
2fe231e	53.2700	2.4	discard	Exp131: lr 1.05e-1 — within noise of 9e-2
61d58a2	52.6900	2.4	discard	Exp132: TF32 matmul — within noise, adds line
